18.190	6.320
2.380	18.260
15.520	28.030
9.000	28.010
16.930	2.090
8.640	19.850
18.430	29.930
3.940	10.770
14.780	7.610
2.410	25.060
18.410	11.880
14.910	17.240
7.140	0.480
13.440	24.760
17.540	29.430
16.710	9.500
12.380	26.660
25.690	6.340
11.620	24.000
10.240	3.020
3.540	26.160
17.860	19.360
3.770	7.840
14.200	19.640
15.880	5.540
1.320	19.320
20.500	25.330
16.760	19.840
27.500	17.660
19.410	20.670
20.490	14.030
20.900	7.670
2.750	25.400
16.100	19.740
0.430	1.120
13.570	9.410
0.300	9.160
0.450	23.350
22.690	23.130
19.120	20.200
7.000	21.440
28.880	0.860
19.600	2.110
22.780	15.420
13.510	8.050
0.510	11.060
4.310	23.120
19.680	25.620
16.320	3.730
7.140	25.900
1.040	13.470
17.460	2.560
23.490	17.750
11.960	15.150
22.850	14.850
28.470	6.080
6.520	19.420
26.850	25.820
21.480	10.300
29.080	2.620
22.540	18.260
4.460	7.850
21.610	23.160
6.820	21.100
6.480	2.460
26.700	3.440
7.030	28.120
20.300	3.860
17.020	12.330
0.200	24.800
13.970	18.490
1.880	3.330
14.250	23.830
27.220	11.980
22.050	7.740
3.080	21.030
12.660	26.020
3.690	14.330
26.930	13.060
1.570	19.840
19.010	14.360
14.240	18.800
20.490	13.590
3.300	17.860
28.720	20.920
7.490	6.590
12.190	16.110
17.520	0.970
10.350	6.180
13.610	21.120
0.260	14.370
12.580	26.640
21.570	24.070
14.500	0.300
25.600	22.910
10.920	4.130
26.650	20.040
18.630	4.300
7.290	16.280
4.340	9.510
